agency_cd,site_no,datetime,Mean Water Temp (C),Mean Water Temp (C)_cd,,,,,,,,,,,,,,,,
5s,15s,20d,14n,10s,,,,,,,,,,,,,,,,
USGS,1173000,6/27/2023,23.4,P,,,,,,,,,,,,,,,,
USGS,1173000,6/28/2023,22.4,P,,,,,,,,,,,,,,,,
USGS,1173000,6/29/2023,21.8,P,,,,,,,,,,,,,,,,
USGS,1173000,6/30/2023,22.3,P,,,,,,,,,,,,,,,,
USGS,1173000,7/1/2023,23.1,P,,,,,,,,,,,,,,,,
USGS,1173000,7/2/2023,21.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/3/2023,20.5,P,,,,,,,,,,,,,,,,
USGS,1173000,7/4/2023,21.2,P,,,,,,,,,,,,,,,,
USGS,1173000,7/5/2023,22.3,P,,,,,,,,,,,,,,,,
USGS,1173000,7/6/2023,23.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/7/2023,25.1,P,,,,,,,,,,,,,,,,
USGS,1173000,7/8/2023,25.4,P,,,,,,,,,,,,,,,,
USGS,1173000,7/9/2023,24.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/10/2023,23.7,P,,,,,,,,,,,,,,,,
USGS,1173000,7/11/2023,22.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/12/2023,23.7,P,,,,,,,,,,,,,,,,
USGS,1173000,7/13/2023,24.6,P,,,,,,,,,,,,,,,,
USGS,1173000,7/14/2023,23.5,P,,,,,,,,,,,,,,,,
USGS,1173000,7/15/2023,23.5,P,,,,,,,,,,,,,,,,
USGS,1173000,7/16/2023,23,P,,,,,,,,,,,,,,,,
USGS,1173000,7/17/2023,22.3,P,,,,,,,,,,,,,,,,
USGS,1173000,7/18/2023,23.2,P,,,,,,,,,,,,,,,,
USGS,1173000,7/19/2023,22.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/20/2023,23.1,P,,,,,,,,,,,,,,,,
USGS,1173000,7/21/2023,22.4,P,,,,,,,,,,,,,,,,
USGS,1173000,7/22/2023,19.8,P,,,,,,,,,,,,,,,,
USGS,1173000,7/23/2023,20.5,P,,,,,,,,,,,,,,,,
USGS,1173000,7/24/2023,21,P,,,,,,,,,,,,,,,,
USGS,1173000,7/25/2023,21.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/26/2023,22.3,P,,,,,,,,,,,,,,,,
USGS,1173000,7/27/2023,22.4,P,,,,,,,,,,,,,,,,
USGS,1173000,7/28/2023,22.5,P,,,,,,,,,,,,,,,,
USGS,1173000,7/29/2023,22.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/30/2023,21.7,P,,,,,,,,,,,,,,,,
USGS,1173000,7/31/2023,21.3,P,,,,,,,,,,,,,,,,
USGS,1173000,8/1/2023,21.5,P,,,,,,,,,,,,,,,,
USGS,1173000,8/2/2023,21.3,P,,,,,,,,,,,,,,,,
USGS,1173000,8/3/2023,21.2,P,,,,,,,,,,,,,,,,
USGS,1173000,8/4/2023,21.2,P,,,,,,,,,,,,,,,,
USGS,1173000,8/5/2023,21.5,P,,,,,,,,,,,,,,,,
USGS,1173000,8/6/2023,21.5,P,,,,,,,,,,,,,,,,
USGS,1173000,8/7/2023,20.9,P,,,,,,,,,,,,,,,,
USGS,1173000,8/8/2023,21.5,P,,,,,,,,,,,,,,,,
USGS,1173000,8/9/2023,22.1,P,,,,,,,,,,,,,,,,
USGS,1173000,8/10/2023,21.6,P,,,,,,,,,,,,,,,,
USGS,1173000,8/11/2023,21.6,P,,,,,,,,,,,,,,,,
USGS,1173000,8/12/2023,21.4,P,,,,,,,,,,,,,,,,
USGS,1173000,8/13/2023,22.2,P,,,,,,,,,,,,,,,,
USGS,1173000,8/14/2023,22.4,P,,,,,,,,,,,,,,,,
USGS,1173000,8/15/2023,21.3,P,,,,,,,,,,,,,,,,
USGS,1173000,8/16/2023,20,P,,,,,,,,,,,,,,,,
USGS,1173000,8/17/2023,20.3,P,,,,,,,,,,,,,,,,
USGS,1173000,8/18/2023,21.1,P,,,,,,,,,,,,,,,,
USGS,1173000,8/19/2023,20,P,,,,,,,,,,,,,,,,
USGS,1173000,8/20/2023,19.6,P,,,,,,,,,,,,,,,,
USGS,1173000,8/21/2023,20.7,P,,,,,,,,,,,,,,,,
USGS,1173000,8/22/2023,21.1,P,,,,,,,,,,,,,,,,
USGS,1173000,8/23/2023,20.1,P,,,,,,,,,,,,,,,,
USGS,1173000,8/24/2023,19.3,P,,,,,,,,,,,,,,,,
USGS,1173000,8/25/2023,18.5,P,,,,,,,,,,,,,,,,
USGS,1173000,8/26/2023,19.6,P,,,,,,,,,,,,,,,,
USGS,1173000,8/27/2023,20.6,P,,,,,,,,,,,,,,,,
USGS,1173000,8/28/2023,20.9,P,,,,,,,,,,,,,,,,
USGS,1173000,8/29/2023,21.7,P,,,,,,,,,,,,,,,,
USGS,1173000,8/30/2023,21.9,P,,,,,,,,,,,,,,,,
USGS,1173000,8/31/2023,20.6,P,,,,,,,,,,,,,,,,
USGS,1173000,9/1/2023,19.5,P,,,,,,,,,,,,,,,,
USGS,1173000,9/2/2023,19.3,P,,,,,,,,,,,,,,,,
USGS,1173000,9/3/2023,20.5,P,,,,,,,,,,,,,,,,
USGS,1173000,9/4/2023,21.6,P,,,,,,,,,,,,,,,,
USGS,1173000,9/5/2023,22.4,P,,,,,,,,,,,,,,,,
USGS,1173000,9/6/2023,22.9,P,,,,,,,,,,,,,,,,
USGS,1173000,9/7/2023,23.6,P,,,,,,,,,,,,,,,,
USGS,1173000,9/8/2023,22.9,P,,,,,,,,,,,,,,,,
USGS,1173000,9/9/2023,22.2,P,,,,,,,,,,,,,,,,
USGS,1173000,9/10/2023,22.2,P,,,,,,,,,,,,,,,,
USGS,1173000,9/11/2023,21.6,P,,,,,,,,,,,,,,,,
USGS,1173000,9/12/2023,21.2,P,,,,,,,,,,,,,,,,
USGS,1173000,9/13/2023,20.7,P,,,,,,,,,,,,,,,,
USGS,1173000,9/14/2023,20.2,P,,,,,,,,,,,,,,,,
USGS,1173000,9/15/2023,19.3,P,,,,,,,,,,,,,,,,
USGS,1173000,9/16/2023,18.4,P,,,,,,,,,,,,,,,,
USGS,1173000,9/17/2023,17.7,P,,,,,,,,,,,,,,,,
USGS,1173000,9/18/2023,18.1,P,,,,,,,,,,,,,,,,
USGS,1173000,9/19/2023,17.2,P,,,,,,,,,,,,,,,,
USGS,1173000,9/20/2023,17,P,,,,,,,,,,,,,,,,
USGS,1173000,9/21/2023,17.2,P,,,,,,,,,,,,,,,,
USGS,1173000,9/22/2023,16.9,P,,,,,,,,,,,,,,,,
USGS,1173000,9/23/2023,16,P,,,,,,,,,,,,,,,,
USGS,1173000,9/24/2023,14.9,P,,,,,,,,,,,,,,,,
USGS,1173000,9/25/2023,14.5,P,,,,,,,,,,,,,,,,
USGS,1173000,9/26/2023,14.2,P,,,,,,,,,,,,,,,,
USGS,1173000,9/27/2023,13.9,P,,,,,,,,,,,,,,,,
USGS,1173000,9/28/2023,13.9,P,,,,,,,,,,,,,,,,
USGS,1173000,9/29/2023,13.4,P,,,,,,,,,,,,,,,,
USGS,1173000,9/30/2023,12.6,P,,,,,,,,,,,,,,,,
USGS,1173000,10/1/2023,13.5,P,,,,,,,,,,,,,,,,
USGS,1173000,10/2/2023,14.4,P,,,,,,,,,,,,,,,,
USGS,1173000,10/3/2023,14.6,P,,,,,,,,,,,,,,,,
USGS,1173000,10/4/2023,15.7,P,,,,,,,,,,,,,,,,
USGS,1173000,10/5/2023,16.7,P,,,,,,,,,,,,,,,,
USGS,1173000,10/6/2023,16.7,P,,,,,,,,,,,,,,,,
USGS,1173000,10/7/2023,17,P,,,,,,,,,,,,,,,,
USGS,1173000,10/8/2023,16.1,P,,,,,,,,,,,,,,,,
USGS,1173000,10/9/2023,14.6,P,,,,,,,,,,,,,,,,
USGS,1173000,10/10/2023,13.9,P,,,,,,,,,,,,,,,,
USGS,1173000,10/11/2023,13.3,P,,,,,,,,,,,,,,,,
USGS,1173000,10/12/2023,13.4,P,,,,,,,,,,,,,,,,
USGS,1173000,10/13/2023,12.9,P,,,,,,,,,,,,,,,,
USGS,1173000,10/14/2023,11.5,P,,,,,,,,,,,,,,,,
USGS,1173000,10/15/2023,11,P,,,,,,,,,,,,,,,,
USGS,1173000,10/16/2023,10.9,P,,,,,,,,,,,,,,,,
USGS,1173000,10/17/2023,10.9,P,,,,,,,,,,,,,,,,
USGS,1173000,10/18/2023,11.1,P,,,,,,,,,,,,,,,,
USGS,1173000,10/19/2023,11.6,P,,,,,,,,,,,,,,,,
USGS,1173000,10/20/2023,12.1,P,,,,,,,,,,,,,,,,
