agency_cd,site_no,datetime,64072_00010_00001,64072_00010_00001_cd,64073_00010_00002,64073_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,64075_00095_00001,64075_00095_00001_cd,64076_00095_00002,64076_00095_00002_cd,Mean Specific Conductance ,Mean Specific Conductance _cd,,,,,,
USGS,1095375,5/5/2023,13,P,11,P,11.9,P,194,P,189,P,191,P,,,,,,
USGS,1095375,5/6/2023,15.4,P,11.2,P,13.2,P,203,P,193,P,196,P,,,,,,
USGS,1095375,5/7/2023,17.3,P,12.4,P,14.8,P,222,P,203,P,210,P,,,,,,
USGS,1095375,5/8/2023,18.2,P,14.6,P,16,P,226,P,210,P,217,P,,,,,,
USGS,1095375,5/9/2023,16.9,P,13.3,P,15,P,217,P,214,P,216,P,,,,,,
USGS,1095375,5/10/2023,17.7,P,12.9,P,15.3,P,227,P,216,P,220,P,,,,,,
USGS,1095375,5/11/2023,18.6,P,13.7,P,16.2,P,234,P,222,P,225,P,,,,,,
USGS,1095375,5/12/2023,19.6,P,14.9,P,17.2,P,235,P,222,P,227,P,,,,,,
USGS,1095375,5/13/2023,20.3,P,16.2,P,18,P,239,P,225,P,229,P,,,,,,
USGS,1095375,5/14/2023,18.1,P,15,P,16.6,P,238,P,230,P,232,P,,,,,,
USGS,1095375,5/15/2023,17.8,P,13.8,P,15.9,P,243,P,235,P,238,P,,,,,,
USGS,1095375,5/16/2023,18.1,P,14.7,P,16.3,P,247,P,237,P,240,P,,,,,,
USGS,1095375,5/17/2023,16.8,P,13.1,P,15.3,P,251,P,242,P,245,P,,,,,,
USGS,1095375,5/18/2023,16.2,P,11.3,P,13.8,P,257,P,251,P,254,P,,,,,,
USGS,1095375,5/19/2023,16.6,P,12.6,P,14.8,P,260,P,256,P,258,P,,,,,,
USGS,1095375,5/20/2023,15,P,13.8,P,14.6,P,262,P,204,P,245,P,,,,,,
USGS,1095375,5/21/2023,17.8,P,15,P,16.3,P,220,P,199,P,209,P,,,,,,
USGS,1095375,5/22/2023,18.2,P,15.5,P,16.8,P,225,P,200,P,209,P,,,,,,
USGS,1095375,5/23/2023,18.6,P,15.1,P,16.8,P,237,P,220,P,227,P,,,,,,
USGS,1095375,5/24/2023,18.9,P,14.8,P,16.7,P,241,P,224,P,231,P,,,,,,
USGS,1095375,5/25/2023,17.9,P,14.8,P,16.2,P,238,P,209,P,234,P,,,,,,
USGS,1095375,5/26/2023,18.2,P,13.7,P,16,P,238,P,198,P,225,P,,,,,,
USGS,1095375,5/27/2023,19.3,P,14.2,P,16.9,P,241,P,206,P,224,P,,,,,,
USGS,1095375,5/28/2023,21.1,P,16.3,P,18.8,P,245,P,214,P,233,P,,,,,,
USGS,1095375,5/29/2023,20.5,P,16.6,P,18.5,P,250,P,220,P,233,P,,,,,,
USGS,1095375,5/30/2023,19.5,P,14.5,P,17,P,248,P,236,P,243,P,,,,,,
USGS,1095375,5/31/2023,20.5,P,14.8,P,17.7,P,252,P,222,P,234,P,,,,,,
USGS,1095375,6/1/2023,22,P,16.7,P,19.4,P,253,P,216,P,235,P,,,,,,
USGS,1095375,6/2/2023,23.2,P,18.7,P,20.5,P,257,P,248,P,254,P,,,,,,
USGS,1095375,6/3/2023,20,P,14.8,P,17.2,P,264,P,256,P,262,P,,,,,,
USGS,1095375,6/4/2023,15.2,P,14,P,14.5,P,265,P,263,P,264,P,,,,,,
USGS,1095375,6/5/2023,15.6,P,13.6,P,14.6,P,267,P,263,P,265,P,,,,,,
USGS,1095375,6/6/2023,17.7,P,14.1,P,15.7,P,267,P,262,P,265,P,,,,,,
USGS,1095375,6/7/2023,15.8,P,14.4,P,15.1,P,264,P,262,P,263,P,,,,,,
USGS,1095375,6/8/2023,15.5,P,13.7,P,14.5,P,267,P,263,P,266,P,,,,,,
USGS,1095375,6/9/2023,15.7,P,12.8,P,14.4,P,291,P,265,P,273,P,,,,,,
USGS,1095375,6/10/2023,17.2,P,13.2,P,15,P,327,P,291,P,311,P,,,,,,
USGS,1095375,6/11/2023,19.7,P,13.6,P,16.6,P,346,P,325,P,334,P,,,,,,
USGS,1095375,6/12/2023,21.3,P,15.9,P,18.6,P,439,P,346,P,386,P,,,,,,
USGS,1095375,6/13/2023,22.1,P,19,P,20.3,P,429,P,400,P,420,P,,,,,,
USGS,1095375,6/14/2023,22,P,18.4,P,20,P,400,P,367,P,389,P,,,,,,
USGS,1095375,6/15/2023,21.4,P,17.7,P,19.3,P,388,P,372,P,381,P,,,,,,
USGS,1095375,6/16/2023,22.1,P,17.8,P,19.9,P,385,P,376,P,381,P,,,,,,
USGS,1095375,6/17/2023,19.7,P,16.5,P,18.3,P,385,P,287,P,349,P,,,,,,
USGS,1095375,6/18/2023,19,P,16.3,P,17.6,P,336,P,289,P,320,P,,,,,,
USGS,1095375,6/19/2023,18.7,P,16.3,P,17.6,P,350,P,333,P,341,P,,,,,,
USGS,1095375,6/20/2023,19.9,P,16.7,P,18.1,P,354,P,345,P,350,P,,,,,,
USGS,1095375,6/21/2023,20.2,P,17.1,P,18.3,P,363,P,339,P,356,P,,,,,,
USGS,1095375,6/22/2023,21.7,P,16.3,P,18.6,P,369,P,356,P,363,P,,,,,,
USGS,1095375,6/23/2023,21.3,P,17.5,P,19.6,P,367,P,358,P,363,P,,,,,,
USGS,1095375,6/24/2023,20.8,P,19.5,P,20.1,P,367,P,328,P,352,P,,,,,,
USGS,1095375,6/25/2023,24.2,P,19.5,P,21.7,P,353,P,330,P,342,P,,,,,,
USGS,1095375,6/26/2023,22.6,P,20.8,P,21.5,P,354,P,280,P,330,P,,,,,,
USGS,1095375,6/27/2023,22,P,20.1,P,21,P,333,P,291,P,305,P,,,,,,
USGS,1095375,6/28/2023,21.2,P,20,P,20.5,P,312,P,191,P,278,P,,,,,,
USGS,1095375,6/29/2023,24,P,20.1,P,22.7,P,191,P,181,P,185,P,,,,,,
USGS,1095375,6/30/2023,24.4,P,22.2,P,23.3,P,208,P,186,P,197,P,,,,,,
USGS,1095375,7/1/2023,24.3,P,22.1,P,23.2,P,232,P,208,P,224,P,,,,,,
USGS,1095375,7/2/2023,22.9,P,19.9,P,21.2,P,248,P,140,P,210,P,,,,,,
USGS,1095375,7/3/2023,22.5,P,20.7,P,21.8,P,179,P,139,P,157,P,,,,,,
USGS,1095375,7/4/2023,22.3,P,22,P,22.1,P,181,P,159,P,171,P,,,,,,
USGS,1095375,7/5/2023,25,P,21.9,P,23.4,P,183,P,164,P,173,P,,,,,,
USGS,1095375,7/6/2023,26,P,23.7,P,24.7,P,193,P,171,P,180,P,,,,,,
USGS,1095375,7/7/2023,26.2,P,23.1,P,24.5,P,192,P,181,P,186,P,,,,,,
USGS,1095375,7/8/2023,26.3,P,24.2,P,25.1,P,210,P,188,P,197,P,,,,,,
USGS,1095375,7/9/2023,25.5,P,24.1,P,24.8,P,223,P,200,P,210,P,,,,,,
USGS,1095375,7/10/2023,24.1,P,21.3,P,22.6,P,216,P,124,P,187,P,,,,,,
USGS,1095375,7/11/2023,24.3,P,21.8,P,22.9,P,170,P,153,P,161,P,,,,,,
USGS,1095375,7/12/2023,25.3,P,22.8,P,23.9,P,183,P,164,P,174,P,,,,,,
USGS,1095375,7/13/2023,25.4,P,23,P,24,P,193,P,175,P,184,P,,,,,,
USGS,1095375,7/14/2023,23.5,P,22.2,P,22.8,P,178,P,157,P,169,P,,,,,,
USGS,1095375,7/15/2023,25.1,P,23.1,P,24.1,P,177,P,166,P,171,P,,,,,,
USGS,1095375,7/16/2023,24.3,P,22.6,P,23.6,P,176,P,126,P,152,P,,,,,,
USGS,1095375,7/17/2023,24.9,P,23.1,P,24,P,151,P,127,P,140,P,,,,,,
USGS,1095375,7/18/2023,24.8,P,23.4,P,24,P,162,P,147,P,155,P,,,,,,
USGS,1095375,7/19/2023,24.9,P,23.6,P,24.2,P,170,P,150,P,157,P,,,,,,
USGS,1095375,7/20/2023,25,P,22.8,P,23.8,P,173,P,159,P,166,P,,,,,,
USGS,1095375,7/21/2023,23.6,P,22.2,P,22.9,P,191,P,168,P,176,P,,,,,,
USGS,1095375,7/22/2023,24.3,P,22,P,23.1,P,168,P,135,P,144,P,,,,,,
USGS,1095375,7/23/2023,24.6,P,22,P,23.4,P,164,P,143,P,151,P,,,,,,
USGS,1095375,7/24/2023,24.6,P,22.3,P,23.3,P,179,P,160,P,167,P,,,,,,
USGS,1095375,7/25/2023,23.8,P,22.1,P,22.8,P,187,P,171,P,179,P,,,,,,
USGS,1095375,7/26/2023,24.7,P,21.3,P,23,P,189,P,182,P,186,P,,,,,,
USGS,1095375,7/27/2023,,,,,,,,,,,,,,,,,,
USGS,1095375,7/28/2023,,,,,,,,,,,,,,,,,,
USGS,1095375,7/29/2023,25.3,P,22.7,P,24,P,190,P,153,P,182,P,,,,,,
USGS,1095375,7/30/2023,23.6,P,21.7,P,22.7,P,173,P,157,P,163,P,,,,,,
USGS,1095375,7/31/2023,23.6,P,21.1,P,22.3,P,170,P,149,P,164,P,,,,,,
USGS,1095375,8/1/2023,22.7,P,20.6,P,21.6,P,182,P,170,P,175,P,,,,,,
USGS,1095375,8/2/2023,21.6,P,19,P,20.4,P,193,P,182,P,187,P,,,,,,
USGS,1095375,8/3/2023,22.1,P,18.8,P,20.6,P,203,P,193,P,197,P,,,,,,
USGS,1095375,8/4/2023,21,P,19.8,P,20.4,P,207,P,203,P,205,P,,,,,,
USGS,1095375,8/5/2023,22.2,P,19.7,P,21,P,208,P,204,P,206,P,,,,,,
USGS,1095375,8/6/2023,22.6,P,19.2,P,21,P,208,P,202,P,206,P,,,,,,
USGS,1095375,8/7/2023,21.2,P,20,P,20.5,P,216,P,204,P,211,P,,,,,,
USGS,1095375,8/8/2023,22.7,P,20.4,P,21.4,P,221,P,207,P,214,P,,,,,,
USGS,1095375,8/9/2023,22.5,P,20.5,P,21.5,P,209,P,201,P,206,P,,,,,,
USGS,1095375,8/10/2023,21.6,P,20.2,P,21,P,223,P,207,P,213,P,,,,,,
USGS,1095375,8/11/2023,22.2,P,19.7,P,20.9,P,230,P,215,P,224,P,,,,,,
USGS,1095375,8/12/2023,22.2,P,18.9,P,20.8,P,238,P,229,P,232,P,,,,,,
USGS,1095375,8/13/2023,23.9,P,20.8,P,22.1,P,253,P,237,P,245,P,,,,,,
USGS,1095375,8/14/2023,23.3,P,20.4,P,21.8,P,270,P,252,P,261,P,,,,,,
USGS,1095375,8/15/2023,21.6,P,19.9,P,20.4,P,272,P,223,P,248,P,,,,,,
USGS,1095375,8/16/2023,20.4,P,19.8,P,20.1,P,243,P,230,P,233,P,,,,,,
USGS,1095375,8/17/2023,20.7,P,19.8,P,20.3,P,240,P,230,P,234,P,,,,,,
USGS,1095375,8/18/2023,21.2,P,19.4,P,20.3,P,244,P,182,P,224,P,,,,,,
USGS,1095375,8/19/2023,20.3,P,19.1,P,19.8,P,229,P,213,P,218,P,,,,,,
USGS,1095375,8/20/2023,21.3,P,18.4,P,19.9,P,236,P,216,P,224,P,,,,,,
USGS,1095375,8/21/2023,21.8,P,19.3,P,20.5,P,254,P,236,P,244,P,,,,,,
USGS,1095375,8/22/2023,21.5,P,19,P,20.1,P,273,P,253,P,263,P,,,,,,
USGS,1095375,8/23/2023,20.9,P,17.4,P,19,P,283,P,260,P,273,P,,,,,,
USGS,1095375,8/24/2023,20,P,17,P,18.7,P,291,P,276,P,284,P,,,,,,
USGS,1095375,8/25/2023,19,P,17.8,P,18.5,P,285,P,208,P,238,P,,,,,,
USGS,1095375,8/26/2023,21.5,P,19,P,20.6,P,212,P,184,P,191,P,,,,,,
USGS,1095375,8/27/2023,21.6,P,20,P,20.8,P,200,P,185,P,192,P,,,,,,
USGS,1095375,8/28/2023,21.4,P,19.2,P,20.5,P,217,P,199,P,208,P,,,,,,
USGS,1095375,8/29/2023,21.8,P,19.5,P,20.7,P,243,P,213,P,227,P,,,,,,
USGS,1095375,8/30/2023,21.9,P,20.2,P,20.9,P,250,P,235,P,244,P,,,,,,
USGS,1095375,8/31/2023,20.9,P,18.3,P,19.6,P,243,P,232,P,236,P,,,,,,
USGS,1095375,9/1/2023,19.7,P,16.5,P,18.1,P,257,P,242,P,248,P,,,,,,
USGS,1095375,9/2/2023,20.1,P,16.5,P,18.3,P,263,P,251,P,261,P,,,,,,
USGS,1095375,9/3/2023,21.7,P,18.1,P,19.8,P,270,P,261,P,266,P,,,,,,
USGS,1095375,9/4/2023,22.5,P,18.7,P,20.4,P,285,P,269,P,276,P,,,,,,
USGS,1095375,9/5/2023,22.7,P,19.6,P,21,P,301,P,282,P,293,P,,,,,,
USGS,1095375,9/6/2023,23.6,P,20.1,P,21.6,P,315,P,293,P,309,P,,,,,,
USGS,1095375,9/7/2023,24.8,P,20.3,P,22.3,P,333,P,315,P,325,P,,,,,,
USGS,1095375,9/8/2023,22.7,P,20.8,P,21.7,P,342,P,317,P,333,P,,,,,,
USGS,1095375,9/9/2023,23.1,P,20.5,P,21.6,P,326,P,319,P,322,P,,,,,,
USGS,1095375,9/10/2023,22.5,P,20.8,P,21.3,P,321,P,297,P,312,P,,,,,,
USGS,1095375,9/11/2023,22.4,P,20.4,P,21,P,302,P,221,P,289,P,,,,,,
USGS,1095375,9/12/2023,23.4,P,20.5,P,22.2,P,240,P,179,P,200,P,,,,,,
USGS,1095375,9/13/2023,22.9,P,21.8,P,22.3,P,192,P,184,P,189,P,,,,,,
USGS,1095375,9/14/2023,22,P,20.6,P,21.5,P,193,P,176,P,187,P,,,,,,
USGS,1095375,9/15/2023,20.6,P,19,P,19.8,P,211,P,192,P,201,P,,,,,,
USGS,1095375,9/16/2023,19,P,17.5,P,18.4,P,231,P,203,P,219,P,,,,,,
USGS,1095375,9/17/2023,18.7,P,16,P,17.6,P,250,P,231,P,240,P,,,,,,
USGS,1095375,9/18/2023,18.1,P,17.2,P,17.6,P,254,P,205,P,238,P,,,,,,
USGS,1095375,9/19/2023,18.5,P,17,P,17.7,P,205,P,182,P,193,P,,,,,,
USGS,1095375,9/20/2023,18.6,P,16.9,P,17.7,P,193,P,183,P,188,P,,,,,,
USGS,1095375,9/21/2023,18.1,P,15.9,P,17.1,P,211,P,193,P,203,P,,,,,,
USGS,1095375,9/22/2023,17.5,P,15.4,P,16.5,P,231,P,211,P,220,P,,,,,,
USGS,1095375,9/23/2023,15.9,P,15,P,15.2,P,246,P,230,P,239,P,,,,,,
USGS,1095375,9/24/2023,15.1,P,14.8,P,14.9,P,252,P,246,P,250,P,,,,,,
USGS,1095375,9/25/2023,14.9,P,14.5,P,14.7,P,250,P,193,P,225,P,,,,,,
USGS,1095375,9/26/2023,15.8,P,14.4,P,15.1,P,193,P,173,P,179,P,,,,,,
USGS,1095375,9/27/2023,15.8,P,13.5,P,14.7,P,178,P,170,P,175,P,,,,,,
USGS,1095375,9/28/2023,16,P,14,P,14.9,P,185,P,175,P,181,P,,,,,,
USGS,1095375,9/29/2023,14.8,P,13.1,P,14,P,187,P,128,P,168,P,,,,,,
USGS,1095375,9/30/2023,15.2,P,13.9,P,14.8,P,147,P,135,P,141,P,,,,,,
USGS,1095375,10/1/2023,15.9,P,14.2,P,15.1,P,155,P,144,P,150,P,,,,,,
USGS,1095375,10/2/2023,16.5,P,15.3,P,15.8,P,166,P,153,P,160,P,,,,,,
USGS,1095375,10/3/2023,17.4,P,14.6,P,16,P,179,P,156,P,169,P,,,,,,
USGS,1095375,10/4/2023,18,P,16.2,P,17.2,P,177,P,160,P,172,P,,,,,,
USGS,1095375,10/5/2023,18.6,P,16.6,P,17.5,P,192,P,166,P,174,P,,,,,,
USGS,1095375,10/6/2023,17.3,P,16.7,P,17.1,P,200,P,170,P,180,P,,,,,,
USGS,1095375,10/7/2023,17.6,P,16.8,P,17.3,P,188,P,162,P,178,P,,,,,,
USGS,1095375,10/8/2023,16.8,P,14.9,P,15.9,P,179,P,145,P,162,P,,,,,,
USGS,1095375,10/9/2023,15.3,P,14,P,14.6,P,159,P,143,P,150,P,,,,,,
USGS,1095375,10/10/2023,14.8,P,13.3,P,14.1,P,172,P,138,P,159,P,,,,,,
USGS,1095375,10/11/2023,15,P,12.8,P,13.9,P,177,P,164,P,173,P,,,,,,
USGS,1095375,10/12/2023,14.9,P,13.1,P,14,P,187,P,177,P,180,P,,,,,,
USGS,1095375,10/13/2023,14.2,P,12.5,P,13.3,P,191,P,185,P,188,P,,,,,,
USGS,1095375,10/14/2023,13.4,P,11.8,P,12.7,P,195,P,189,P,192,P,,,,,,
USGS,1095375,10/15/2023,13.3,P,12.1,P,12.6,P,198,P,194,P,195,P,,,,,,
USGS,1095375,10/16/2023,13.1,P,11.9,P,12.4,P,202,P,197,P,199,P,,,,,,
USGS,1095375,10/17/2023,12.9,P,11.5,P,12.3,P,204,P,201,P,202,P,,,,,,
USGS,1095375,10/18/2023,13.2,P,11.9,P,12.6,P,211,P,204,P,208,P,,,,,,
USGS,1095375,10/19/2023,13.7,P,12,P,12.9,P,216,P,210,P,213,P,,,,,,
USGS,1095375,10/20/2023,13.4,P,12.3,P,12.9,P,220,P,216,P,218,P,,,,,,
