agency_cd,site_no,datetime,64072_00010_00001,64072_00010_00001_cd,64073_00010_00002,64073_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,64075_00095_00001,64075_00095_00001_cd,64076_00095_00002,64076_00095_00002_cd,Mean Specific Conductance ,Mean Specific Conductance _cd,,,,,,

USGS,1095375,4/4/2023,10.7,P,7,P,8.7,P,238,P,224,P,229,P,,,,,,
USGS,1095375,4/5/2023,9.3,P,7.9,P,8.8,P,232,P,216,P,221,P,,,,,,
USGS,1095375,4/6/2023,11.7,P,7.6,P,9.5,P,247,P,219,P,230,P,,,,,,
USGS,1095375,4/7/2023,10.2,P,7.9,P,9.3,P,249,P,233,P,240,P,,,,,,
USGS,1095375,4/8/2023,10.6,P,6.6,P,8.3,P,248,P,237,P,240,P,,,,,,
USGS,1095375,4/9/2023,10.9,P,6.1,P,8.4,P,249,P,240,P,243,P,,,,,,
USGS,1095375,4/10/2023,12.4,P,7.2,P,9.6,P,259,P,243,P,249,P,,,,,,
USGS,1095375,4/11/2023,13.4,P,8.3,P,10.8,P,258,P,241,P,246,P,,,,,,
USGS,1095375,4/12/2023,14.3,P,10.2,P,12.1,P,242,P,224,P,231,P,,,,,,
USGS,1095375,4/13/2023,16.6,P,10.2,P,13.4,P,240,P,224,P,231,P,,,,,,
USGS,1095375,4/14/2023,18.4,P,12.4,P,15.4,P,262,P,227,P,237,P,,,,,,
USGS,1095375,4/15/2023,17.7,P,13.6,P,15.7,P,246,P,230,P,237,P,,,,,,
USGS,1095375,4/16/2023,15.9,P,14,P,14.7,P,261,P,245,P,250,P,,,,,,
USGS,1095375,4/17/2023,14.4,P,12.8,P,13.6,P,265,P,246,P,253,P,,,,,,
USGS,1095375,4/18/2023,12.8,P,11.2,P,12.2,P,253,P,247,P,251,P,,,,,,
USGS,1095375,4/19/2023,11.2,P,9.4,P,10.4,P,250,P,238,P,243,P,,,,,,
USGS,1095375,4/20/2023,14.2,P,8.4,P,11.2,P,258,P,247,P,252,P,,,,,,
USGS,1095375,4/21/2023,15.5,P,10.2,P,12.7,P,260,P,254,P,257,P,,,,,,
USGS,1095375,4/22/2023,12.6,P,10.9,P,11.8,P,257,P,250,P,255,P,,,,,,
USGS,1095375,4/23/2023,11.3,P,10.2,P,10.6,P,254,P,221,P,235,P,,,,,,
USGS,1095375,4/24/2023,13.7,P,10.8,P,11.9,P,222,P,198,P,206,P,,,,,,
USGS,1095375,4/25/2023,13.4,P,10.5,P,12,P,205,P,196,P,198,P,,,,,,
USGS,1095375,4/26/2023,13.5,P,11.4,P,12.3,P,281,P,197,P,225,P,,,,,,
USGS,1095375,4/27/2023,13.8,P,11.6,P,12.5,P,283,P,270,P,277,P,,,,,,
USGS,1095375,4/28/2023,14.6,P,10.9,P,12.8,P,272,P,265,P,268,P,,,,,,
USGS,1095375,4/29/2023,12.7,P,11.6,P,12.2,P,269,P,254,P,264,P,,,,,,
USGS,1095375,4/30/2023,11.9,P,11,P,11.5,P,254,P,192,P,237,P,,,,,,
USGS,1095375,5/1/2023,13.4,P,11,P,12.3,P,192,P,169,P,181,P,,,,,,
USGS,1095375,5/2/2023,12.7,P,11.5,P,12.1,P,187,P,170,P,178,P,,,,,,
USGS,1095375,5/3/2023,12.3,P,11.3,P,11.8,P,190,P,183,P,186,P,,,,,,
USGS,1095375,5/4/2023,11.8,P,11.1,P,11.4,P,192,P,187,P,190,P,,,,,,
