agency_cd,site_no,datetime,64607_00010_00001,64607_00010_00001_cd,64608_00010_00002,64608_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,64610_00095_00001,64610_00095_00001_cd,64611_00095_00002,64611_00095_00002_cd,Mean Specific Conductance ,Mean Specific Conductance _cd,,,,,,

USGS,1168250,4/4/2023,3.8,P,1.6,P,2.4,P,117,P,83,P,103,P,,,,,,
USGS,1168250,4/5/2023,2.3,P,1.7,P,2,P,86,P,82,P,84,P,,,,,,
USGS,1168250,4/6/2023,3.7,P,1.7,P,2.3,P,94,P,60,P,76,P,,,,,,
USGS,1168250,4/7/2023,2.2,P,1,P,1.7,P,79,P,60,P,71,P,,,,,,
USGS,1168250,4/8/2023,3.5,P,0,P,1.7,P,93,P,79,P,86,P,,,,,,
USGS,1168250,4/9/2023,4.3,P,0.2,P,2.2,P,97,P,89,P,92,P,,,,,,
USGS,1168250,4/10/2023,5.2,P,0.9,P,3,P,92,P,78,P,87,P,,,,,,
USGS,1168250,4/11/2023,5.8,P,2.2,P,4,P,78,P,56,P,72,P,,,,,,
USGS,1168250,4/12/2023,6.8,P,3.6,P,5,P,56,P,45,P,49,P,,,,,,
USGS,1168250,4/13/2023,9.2,P,4,P,6.5,P,52,P,45,P,48,P,,,,,,
USGS,1168250,4/14/2023,10.7,P,6.1,P,8.3,P,58,P,47,P,53,P,,,,,,
USGS,1168250,4/15/2023,11.2,P,7,P,9.2,P,69,P,58,P,64,P,,,,,,
USGS,1168250,4/16/2023,10.8,P,9.3,P,10,P,80,P,69,P,75,P,,,,,,
USGS,1168250,4/17/2023,9.9,P,7.7,P,9.1,P,106,P,80,P,90,P,,,,,,
USGS,1168250,4/18/2023,7.7,P,4.9,P,6.5,P,94,P,89,P,90,P,,,,,,
USGS,1168250,4/19/2023,4.9,P,3.2,P,4.1,P,99,P,91,P,96,P,,,,,,
USGS,1168250,4/20/2023,7.7,P,2.7,P,5.1,P,100,P,98,P,98,P,,,,,,
USGS,1168250,4/21/2023,10.8,P,5.3,P,7.8,P,103,P,100,P,102,P,,,,,,
USGS,1168250,4/22/2023,8.1,P,7.1,P,7.5,P,108,P,103,P,106,P,,,,,,
USGS,1168250,4/23/2023,7.1,P,6.2,P,6.7,P,133,P,62,P,85,P,,,,,,
USGS,1168250,4/24/2023,7.5,P,5.1,P,6.2,P,87,P,67,P,79,P,,,,,,
USGS,1168250,4/25/2023,7.6,P,3.9,P,5.7,P,95,P,87,P,91,P,,,,,,
USGS,1168250,4/26/2023,6.7,P,3.5,P,5.4,P,99,P,95,P,97,P,,,,,,
