site_no,Date,Mean Water Temp (C),Mean Specific Conductance,Turbidity (FNU),pH,normalized_turbidity,normalized_water_temp,normalized_specific_conductance,distance_from_mean,normalized_pH,cwi,cwi_100
1095220.0,4/4/2023,8.9,126.0,,7.196306738573121,,3.581673306772908,0.4108164326573063,0.3017967971128845,8.795167566848653,4.165283988475807,35
1095220.0,4/5/2023,9.9,129.0,,7.325532998947892,,3.9402390438247017,0.4264170566822672,0.1725705367381129,9.311765351475032,4.471011706826959,39
1095220.0,4/6/2023,9.0,135.0,,9.898675071827675,,3.617529880478087,0.4576183047321892,2.400571536141672,0.4050587958627343,1.7968491203748727,9
1095220.0,4/7/2023,10.2,138.0,,8.882515078644367,,4.047808764940239,0.4732189287571502,1.384411542958362,4.467282679631015,3.146347073085293,24
1095220.0,4/8/2023,8.7,143.0,,6.599608887557527,,3.5099601593625493,0.4992199687987519,0.8984946481284783,6.409794910919371,3.4782728910748424,28
1095220.0,4/9/2023,8.3,146.0,,6.84268458497315,,3.3665338645418323,0.514820592823713,0.6554189507128552,7.381519747784946,3.698897467834688,30
1095220.0,4/10/2023,8.9,147.0,,7.643771816229581,,3.581673306772908,0.5200208008320333,0.1456682805435756,9.419310411675989,4.3748117636192525,37
1095220.0,4/11/2023,10.4,149.0,,6.79269893098825,,4.1195219123505975,0.5304212168486739,0.7054046046977556,7.181695981030325,3.9689714475442566,33
1095220.0,4/12/2023,12.4,151.0,,8.04694459247726,,4.836653386454183,0.5408216328653146,0.5488410567912547,7.807577916847253,4.458108465541098,38
1095220.0,4/13/2023,14.1,152.0,,6.877699884890391,,5.446215139442231,0.5460218408736349,0.6204036507956143,7.5214976927693105,4.639097783658942,40
1095220.0,4/14/2023,16.4,159.0,,7.621532328734972,,6.270916334661354,0.5824232969318772,0.1234287930489665,9.50821548358337,5.570575223573509,51
1095220.0,4/15/2023,16.8,162.0,,6.816784966398152,,6.414342629482072,0.5980239209568382,0.6813185692878534,7.277982854124868,4.99929163408709,44
1095220.0,4/16/2023,16.0,162.0,,7.259168362579394,,6.127490039840638,0.5980239209568382,0.2389351731066114,9.046464598933913,5.3816353084719175,49
1095220.0,4/17/2023,14.3,162.0,,6.405804963723086,,5.517928286852589,0.5980239209568382,1.0922985719629192,5.6350400165626375,4.14570181937096,35
1095220.0,4/18/2023,12.7,162.0,,7.101390627790664,,4.944223107569721,0.5980239209568382,0.3967129078953411,8.415728802518815,4.694310681380068,41
1095220.0,4/19/2023,11.0,166.0,,7.544008682361227,,4.334661354581673,0.6188247529901196,0.0459051466752216,9.818125743747908,4.839697865317297,43
1095220.0,4/20/2023,11.0,169.0,,5.336448966584781,,4.334661354581673,0.6344253770150807,2.1616545691012243,1.3601585992990088,2.4275931451961714,16
1095220.0,4/21/2023,12.2,174.0,,8.05844754098908,,4.764940239043824,0.6604264170566823,0.560344005303075,7.761593472968401,4.44840864245452,38
1095220.0,4/22/2023,12.2,177.0,,6.964843961524206,,4.764940239043824,0.6760270410816432,0.5332595741617991,7.869866799805153,4.483801199843581,39
1095220.0,4/23/2023,10.7,160.0,,8.12368421681902,,4.227091633466135,0.5876235049401977,0.6255806811330151,7.500801880668205,4.122589381659316,35
1095220.0,4/24/2023,10.7,122.0,,7.3077024634567955,,4.227091633466135,0.3900156006240249,0.1904010722292097,9.240485604566866,4.563182472968599,40
1095220.0,4/25/2023,11.3,125.0,,7.845546276233642,,4.442231075697212,0.4056162246489859,0.3474427405476366,8.612692323912832,4.480472903459325,39
1095220.0,4/26/2023,12.0,132.0,,7.878433650869238,,4.693227091633466,0.4420176807072282,0.3803301151832325,8.481221020559667,4.560879811062027,40
1095220.0,4/27/2023,12.3,138.0,,7.277258437726111,,4.800796812749004,0.4732189287571502,0.2208450979598941,9.118781887365971,4.798056010070466,42
1095220.0,4/28/2023,12.4,143.0,,7.61646406135603,,4.836653386454183,0.4992199687987519,0.1183605256700248,9.528476502452618,4.937907585980756,44
1095220.0,4/29/2023,12.1,147.0,,6.72066738192659,,4.729083665338646,0.5200208008320333,0.7774361537594157,6.893741051741628,4.144967814451895,35
1095220.0,4/30/2023,11.0,143.0,,7.043650399975442,,4.334661354581673,0.4992199687987519,0.4544531357105636,8.184905178228671,4.338890622542838,37
1095220.0,5/1/2023,11.6,104.0,,8.487549805639166,,4.5498007968127485,0.296411856474259,0.9894462699531604,6.046204676190426,3.7620907793953737,31
1095220.0,5/2/2023,11.4,100.0,,8.894109681496964,,4.478087649402391,0.2756110244409776,1.3960061458109587,4.420931836312456,3.261049809959149,25
1095220.0,5/3/2023,10.9,105.0,,7.427941515164355,,4.298804780876495,0.3016120644825793,0.0701620205216499,9.721155923103984,4.7059929025432305,41
1095220.0,5/4/2023,10.5,112.0,,8.683218484574013,,4.155378486055778,0.3380135205408216,1.1851149488880075,5.26399519519668,3.381450412806048,26
1095220.0,5/5/2023,10.7,117.0,,8.275088131600437,,4.227091633466135,0.3640145605824232,0.7769845959144321,6.895546209467873,3.8857709200712858,32
1095220.0,5/6/2023,12.3,122.0,,7.989670274028392,,4.800796812749004,0.3900156006240249,0.4915667383423869,8.036539011448792,4.465071380341807,39
1095220.0,5/7/2023,14.6,129.0,,7.057173701740738,,5.625498007968128,0.4264170566822672,0.4409298339452672,8.238966231396391,4.886751514294529,43
1095220.0,5/8/2023,16.4,133.0,,8.94915561540725,,6.270916334661354,0.4472178887155486,1.4510520797212445,4.200878981511318,4.0155632492054,34
