site_no,Date,Mean Water Temp (C),Mean Specific Conductance,Turbidity (FNU),pH,normalized_turbidity,normalized_water_temp,normalized_specific_conductance,distance_from_mean,normalized_pH
1095220,4/4/2023,8.9,126.0,,7.196306738573121,,3.581673306772908,0.4108164326573063,0.30179679711288454,8.795167566848653
1095220,4/5/2023,9.9,129.0,,7.325532998947892,,3.9402390438247017,0.42641705668226726,0.17257053673811296,9.311765351475033
1095220,4/6/2023,9.0,135.0,,9.898675071827677,,3.617529880478087,0.45761830473218923,2.4005715361416717,0.4050587958627343
1095220,4/7/2023,10.2,138.0,,8.882515078644367,,4.047808764940239,0.47321892875715027,1.3844115429583619,4.467282679631015
1095220,4/8/2023,8.7,143.0,,6.599608887557527,,3.5099601593625493,0.49921996879875197,0.8984946481284783,6.409794910919371
1095220,4/9/2023,8.3,146.0,,6.84268458497315,,3.3665338645418323,0.514820592823713,0.6554189507128552,7.381519747784946
1095220,4/10/2023,8.9,147.0,,7.643771816229581,,3.581673306772908,0.5200208008320333,0.1456682805435756,9.419310411675989
1095220,4/11/2023,10.4,149.0,,6.79269893098825,,4.1195219123505975,0.5304212168486739,0.7054046046977556,7.181695981030325
1095220,4/12/2023,12.4,151.0,,8.04694459247726,,4.836653386454183,0.5408216328653146,0.5488410567912547,7.807577916847253
1095220,4/13/2023,14.1,152.0,,6.877699884890391,,5.446215139442231,0.5460218408736349,0.6204036507956143,7.5214976927693105
1095220,4/14/2023,16.4,159.0,,7.621532328734972,,6.270916334661354,0.5824232969318772,0.12342879304896659,9.50821548358337
1095220,4/15/2023,16.8,162.0,,6.816784966398152,,6.414342629482072,0.5980239209568382,0.6813185692878534,7.277982854124868
1095220,4/16/2023,16.0,162.0,,7.259168362579394,,6.127490039840638,0.5980239209568382,0.2389351731066114,9.046464598933913
1095220,4/17/2023,14.3,162.0,,6.405804963723086,,5.517928286852589,0.5980239209568382,1.0922985719629192,5.6350400165626375
1095220,4/18/2023,12.7,162.0,,7.101390627790664,,4.944223107569721,0.5980239209568382,0.3967129078953411,8.415728802518815
1095220,4/19/2023,11.0,166.0,,7.544008682361227,,4.334661354581673,0.6188247529901196,0.04590514667522161,9.818125743747908
1095220,4/20/2023,11.0,169.0,,5.336448966584781,,4.334661354581673,0.6344253770150807,2.1616545691012243,1.3601585992990088
1095220,4/21/2023,12.2,174.0,,8.05844754098908,,4.764940239043824,0.6604264170566823,0.560344005303075,7.761593472968401
1095220,4/22/2023,12.2,177.0,,6.964843961524206,,4.764940239043824,0.6760270410816432,0.5332595741617991,7.869866799805153
1095220,4/23/2023,10.7,160.0,,8.12368421681902,,4.227091633466135,0.5876235049401977,0.6255806811330151,7.500801880668205
1095220,4/24/2023,10.7,122.0,,7.3077024634567955,,4.227091633466135,0.39001560062402496,0.19040107222920977,9.240485604566866
1095220,4/25/2023,11.3,125.0,,7.845546276233642,,4.442231075697212,0.40561622464898595,0.3474427405476366,8.612692323912832
1095220,4/26/2023,12.0,132.0,,7.878433650869238,,4.693227091633466,0.44201768070722824,0.38033011518323256,8.481221020559667
1095220,4/27/2023,12.3,138.0,,7.277258437726111,,4.800796812749004,0.47321892875715027,0.22084509795989415,9.118781887365973
1095220,4/28/2023,12.4,143.0,,7.61646406135603,,4.836653386454183,0.49921996879875197,0.11836052567002486,9.528476502452618
1095220,4/29/2023,12.1,147.0,,6.72066738192659,,4.729083665338646,0.5200208008320333,0.7774361537594157,6.893741051741628
1095220,4/30/2023,11.0,143.0,,7.043650399975442,,4.334661354581673,0.49921996879875197,0.45445313571056367,8.184905178228671
1095220,5/1/2023,11.6,104.0,,8.487549805639166,,4.5498007968127485,0.296411856474259,0.9894462699531603,6.046204676190426
1095220,5/2/2023,11.4,100.0,,8.894109681496964,,4.478087649402391,0.2756110244409776,1.3960061458109587,4.420931836312456
1095220,5/3/2023,10.9,105.0,,7.427941515164355,,4.298804780876495,0.3016120644825793,0.07016202052164999,9.721155923103984
1095220,5/4/2023,10.5,112.0,,8.683218484574013,,4.155378486055778,0.3380135205408216,1.1851149488880077,5.26399519519668
1095220,5/5/2023,10.7,117.0,,8.275088131600437,,4.227091633466135,0.36401456058242326,0.7769845959144321,6.895546209467873
1095220,5/6/2023,12.3,122.0,,7.989670274028392,,4.800796812749004,0.39001560062402496,0.49156673834238696,8.036539011448792
1095220,5/7/2023,14.6,129.0,,7.057173701740738,,5.625498007968128,0.42641705668226726,0.4409298339452672,8.238966231396391
1095220,5/8/2023,16.4,133.0,,8.94915561540725,,6.270916334661354,0.44721788871554863,1.4510520797212445,4.200878981511318
1095220,5/9/2023,15.5,138.0,,7.291855359192823,,5.94820717131474,0.47321892875715027,0.20624817649318228,9.1771348666304
1095220,5/10/2023,14.7,142.0,,6.4616949932445555,,5.661354581673306,0.49401976079043164,1.0364085424414498,5.85846724683116
1095220,5/11/2023,15.1,148.0,,6.8281123031869,,5.804780876494023,0.5252210088403536,0.6699912324991049,7.3232652686574395
1095220,5/12/2023,16.0,153.0,,7.636680973244733,,6.127490039840638,0.5512220488819553,0.13857743755872765,9.447656923959812
1095220,5/13/2023,17.4,154.0,,7.727542533305143,,6.629482071713147,0.5564222568902756,0.22943899761913755,9.08442672215117
1095220,5/14/2023,16.6,163.0,,7.574211380804452,,6.342629482071714,0.6032241289651586,0.0761078451184467,9.69738676190119
1095220,5/15/2023,15.4,167.0,,6.615561756550532,,5.912350597609562,0.62402496099844,0.8825417791354733,6.473568456298776
